chr_uid,Char_Name,CASNumber
56,"1,2,4,5-Tetrachlorobenzene",95-94-3
100849,"1,2,4,5-Tetrachloronaphthalene",6733-54-6
57,"1,2,4,5-Tetramethylbenzene",95-93-2
100850,"1,2,4,6,8-Pentachloronaphthalene",150224-22-9
100851,"1,2,4,7,8-Pentachloronaphthalene",150224-21-8
58,"1,2,4-Trichlorobenzene",120-82-1
59,"1,2,4-Trimethylbenzene",95-63-6
100362,"1,2,4-Trimethylcyclopentane",2815-58-9
103140,"1,2,5,6-Tetrachloronaphthalene",NULL
100852,"1,2,5-Trichloronaphthalene",55720-33-7
101510,"1,2,6,7-tetrachlorodibenzofuran",55722-27-5
100853,"1,2,6-Trichloronaphthalene",51570-44-6
100363,"1,2,6-Trimethylphenanthrene",30436-55-6
100854,"1,2,7,8-Tetrachloronaphthalene",149864-82-4
100855,"1,2,8-Trichloronaphthalene",55720-35-9
100711,"1,2-Benzenedicarboxylic acid, 4,4'-carbonylbis-, tricesium salt",226-88-0
60,"1,2-Benzisothiazole",272-16-2
61,"1,2-Benzisothiazolin-3-one",2634-33-5
1962,"1,2-Bis(2-chloroethoxy)ethane",112-26-5
62,"1,2-Butylene oxide",106-88-7
100712,"1,2-Dehydro-3-methylcholanthrene",3343-10-0
63,"1,2-Dibromo-3-chloropropane",96-12-8
3684,"1,2-Dichlorobenzene-d4",2199-69-1
64,"1,2-Dichlorobutane",616-21-7
65,"1,2-Dichloroethane",107-06-2
3582,"1,2-Dichloroethane-d4",17060-07-0
66,"1,2-Dichloroethylene",540-59-0
100856,"1,2-Dichloronaphthalene",2050-69-3
67,"1,2-Dichloropropane",78-87-5
100971,"1,2-Dichloropropane-d6",NULL
68,"1,2-Dichloropropene",563-54-2
69,"1,2-Dimethyl-3-ethylbenzene",933-98-2
2977,"1,2-Dimethyl-4-ethylbenzene",934-80-5
70,"1,2-Dimethylhydrazine",540-73-8
71,"1,2-Dimethylnaphthalene",573-98-8
72,"1,2-Diphenylhydrazine",122-66-7
2227,"1,2-Epithiocyclohexane",286-28-2
100644,"1,2-Octanediol",1117-86-8
73,"1,2-Propadienylbenzene",2327-99-3
2958,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",1222-05-5
100857,"1,3,5,7-Tetrachloronaphthalene",53555-64-9
100005,"1,3,5-Triazin-2(1H)-one, 4-(ethylamino)-6-[(1-methylethyl)amino]-",NULL
326,"1,3,5-Triazine-2,4-diamine",504-08-5
74,"1,3,5-Trichlorobenzene",108-70-3
75,"1,3,5-Trimethylbenzene",108-67-8
76,"1,3,5-Trinitrobenzene",99-35-4
100858,"1,3,6,7-Tetrachloronaphthalene",55720-42-8
100433,"1,3,6-Trioxocane",1779-19-7
100859,"1,3,7-Trichloronaphthalene",55720-37-1
100860,"1,3,8-Trichloronaphthalene",55720-38-2
77,"1,3-Butadiene",106-99-0
2019,"1,3-Dibromo-5,5-dimethylhydantoin",77-48-5
78,"1,3-Dichloro-2-propanol",96-23-1
101134,"1,3-Dichlorobenzene",NULL
79,"1,3-Dichloropropane",142-28-9
80,"1,3-Dichloropropene",542-75-6
81,"1,3-Dimethyl-4-ethylbenzene",874-41-9
82,"1,3-Dimethyl-5-ethylbenzene",934-74-7
100899,"1,3-Dimethyladamantane",702-79-4
120,"1,3-Dimethylindan",4175-53-5
3797,"1,3-Dimethylnaphthalene",575-41-7
2978,"1,3-Dinitropyrene",75321-20-9
84,"1,3-Dioxolane",646-06-0
100861,"1,4,5,8-Tetrachloronaphthalene",3432-57-3
100862,"1,4,5-Trichloronaphthalene",2437-55-0
100863,"1,4,6,7-Tetrachloronaphthalene",55720-43-9
100364,"1,4,6,7-Tetramethylnaphthalene",13765-09-8
100003,"1,4-Benzenedicarboxylic acid, 2,3,5,6-tetrachloro-,monomethyl ester",NULL
100918,"1,4-Butanediol",110-63-4
100645,"1,4-Cineole",470-67-7
85,"1,4-Cyclohexanedione",637-88-7
86,"1,4-Dichloro-2-butene",764-41-0
87,"1,4-Dichloro-2-butyne",821-10-3
3590,"1,4-Dichlorobenzene-d4",3855-82-1
88,"1,4-Dichlorobutane",110-56-5
100864,"1,4-Dichloronaphthalene",1825-31-6
3299,"1,4-Difluorobenzene",540-36-3
89,"1,4-Dimethoxyanthracene",13076-29-4
90,"1,4-Dimethylnaphthalene",571-58-4
91,"1,4-Dioxane",123-91-1
101036,"1,4-Dioxane-d8",NULL
92,"1,4-Naphthoquinone",130-15-4
100865,"1,5-Dichloronaphthalene",1825-30-5
3798,"1,5-Dimethylnaphthalene",571-61-9
100919,"1,5-Pentanediol",111-29-5
93,"1,6,7-Trimethylnaphthalene",2245-38-7
121,"1,6-Dimethylindan",17059-48-2
94,"1,6-Dimethylnaphthalene",575-43-9
100920,"1,6-Hexanediol",629-11-8
100365,"1,7-Dimethylfluorene",442-66-0
100366,"1,7-Dimethylphenanthrene",483-87-4
3623,"1,7-Dimethylxanthine",611-59-6
100921,"1,7-Heptanediol",629-30-1
100866,"1,8-Dichloronaphthalene",2050-74-0
3799,"1,8-Dimethylnaphthalene",569-41-5
100367,"1,8-Dimethylphenanthrene",7372-87-4
96,"1,8-Naphthalic anhydride",81-84-5
100922,"1,8-Octanediol",629-41-4
97,"1,9-Nonanediol",3937-56-2
2015,1-(2-Butoxyethoxy)ethanol,54446-78-5
3922,"1-(3,4-dichlorophenyl)-3-methyl urea",3567-62-2
3876,1-(Aminomethyl)cyclohexaneacetic acid,60142-96-3
103302,1-3-Dicyclohexylurea,2387-23-7
103303,1-3-diphenylguanidine (DPG),102-06-7
100,1-Bromo-2-chloroethane,107-04-0
2146,"1-Bromo-3-chloro-5,5-dimethyl-2,4-imidazolidinedione",16079-88-2
101784,1-Bromo-3-chloropropane-d6,NULL
101,1-Bromobutane,109-65-9
102,1-Butanol,71-36-3
3013,1-Butene,106-98-9
101816,"1-Butene, 3-methyl-",563-45-1
103,1-Butoxy-2-propanol,5131-66-8
101817,"1-Butyne, 3,3-dimethyl-",917-92-0
101818,"1-Butyne, 3-chloro-3-methyl-",1111-97-3
101783,"1-Chloro-1,1-difluoroethane",NULL
1296,"1-Chloro-2,2-dimethylpropane",753-89-9
105,1-Chloroanthraquinone,82-44-0
106,1-Chlorobutane,109-69-3
107,1-Chlorocyclohexene,930-66-5
1394,1-Chlorohexane,544-10-5
108,1-Chloronaphthalene,90-13-1
109,1-Chloropropane,540-54-5
100726,1-Cyclopentyl-4-n-octyldodecane,1365526
3113,"1-Decanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heneicosafluoro-",335-77-3
101604,"1-Decanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-",39108-34-4
110,1-Decanol,112-30-1
111,1-Dodecanol,112-53-8
2357,1-Eicosanol,629-96-9
4508,1-Ethylnaphthalene,1127-76-0
112,1-Heptadecanol,1454-85-9
3112,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-",375-92-8
2179,1-Hexadecanol,36653-82-4
100674,1-Hexadecene,629-73-2
113,1-Hexanol,111-27-3
101792,1-Hexene,592-41-6
123,1-Hydroxychlordene,2597-11-7
101793,1-Isobutoxy-2-ethylhexane,1000139-90-3
128,1-Methoxy-2-butanol,53778-73-7
101779,1-Methoxy-4-(2-propenyl)benzene,NULL
100675,1-methyl-2-propyl-Cyclohexane,4291-79-6
3803,1-Methylanthracene,NULL
100368,1-Methylchrysene,3351-28-8
124,1-Methylfluorene,1730-37-6
1327,1-Methylindan,767-58-8
125,1-Methylnaphthalene,90-12-0
100369,1-Methylnaphthalene-D10,38072-94-5
126,1-Methylphenanthrene,832-69-9
127,1-Methylpyrene,2381-21-7
129,1-Naphthalenamine,134-32-7
130,1-Naphthol,90-15-3
2979,1-Nitropyrene,5522-43-0
100676,1-Nonadecene,18435-45-5
2022,1-Octadecene,112-88-9
101605,"1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-",27619-97-2
3971,1-Octanol,111-87-5
101053,1-Pentadecanethiol,25276-70-4
101054,1-Pentadecene,13360-61-7
3972,1-Pentanol,71-41-0
131,1-Pentene,109-67-1
3873,1-Phenethyl-4-(phenylpropionylamino)piperidine,437-38-7
100727,1-phenyl-1H-Indene,1961-96-2
2522,1-Phenylnaphthalene,605-02-7
136,1-Propanol,71-23-8
3669,1-Tailed Critical (H),NULL
3670,1-Tailed Critical (W),NULL
2426,1-Tetradecanol,112-72-1
2023,1-Tetradecene,1120-36-1
100370,"10,11-Dihydro-10-hydroxy Carbamazepine",29331-92-8
3223,11-KetoTestosterone,564-35-2
99,11-Tricosene,52078-56-5
3804,11H-Benzo[a]fluorene,238-84-6
3805,11H-Benzo[b]fluorene,243-17-4
100773,12-Chlorodehydroabietic acid,65310-45-4
103125,1234/2367-Tetrachloronaphthalene,NULL
103120,123467/123567-Hexachloronaphthalene,NULL
103119,123568-Hexachloronaphthalene,NULL
103126,1256-Tetrachloronaphthalene,NULL
100728,"13-C12-2,2',3,3',4,4',5,5',6,6'-DeCB",105600-27-9
100729,"13-C12-2,2',3,3',4,4',5,5',6-NoCB",208263-75-6
100730,"13-C12-2,2',3,3',5,5',6,6'-OcCB",105600-26-8
100731,"13-C12-2,2',3,4,4',5,5'-HpCB",NULL
100732,"13-C12-2,2',4,5,5'-PeCB",104130-39-4
100733,"13-C12-2,3',4,4',5-PeCB",104130-40-7
100734,"13-C12-2,4'-DiCB",NULL
100735,"13-C12-2,4,4'-TriCB",208263-76-7
100736,13-C12-4-MoCB,208263-77-8
101512,13C-Chlor_tox,NULL
101511,13C-Chlordane,NULL
101513,13C-gHCH (Lindane),104215-85-2
101514,13C-Lindane,NULL
101515,"13C-p,p'-DDE",NULL
101869,13C-Triclosan,NULL
100775,14-Chlorodehydroabietic acid,65281-76-7
4030,16-Epiestriol-d2,366495-94-5
4569,17.alpha.-Dihydroequilin,651-55-8
3624,17.alpha.-Estradiol,57-91-0
101663,"17.beta.-Estradiol-13,14,15,16,17,18-13C6",NULL
4032,17.beta.-Estradiol-13C6,NULL
4033,17.beta.-Estradiol-d4,66789-03-5
103301,17beta-Trenbolone,10161-33-8
3822,"19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol,(17.alpha.)-***retired***use Ethinyl estradiol",57-63-6
101668,"1H-1,2,4-Triazole",NULL
101632,"1H-Benzimidazole-5-sulfonic acid, 2-phenyl-",27503-81-7
100393,"1H-Benzotriazole, 5-chloro-",94-97-3
114,"1H-Inden-1-one, 2,3-dihydro-3,3-dimethyl",26465-81-6
100573,"1H-Indene, 2,3-dihydro-1,2-dimethyl-",17057-82-8
100434,1H-Indol-4-ol,2380-94-1
100435,1H-Indol-5-ol,1953-54-4
3794,"1H-Pyrazole-3-carbonitrile, 5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-(trifluoromethyl)-",205650-65-3
101690,"1H-Pyrazole-3-carboxamide, 5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)sulfinyl]-",NULL
3014,1rs Cis-Permethrin,61949-76-6
103193,"2',3,4,4',5-Pentachlorobiphenyl-C13",208263-64-3
100394,2(3H)-Benzothiazolone,934-34-9
4145,"2,2',3',4,5-Pentabromodiphenyl ether",446254-64-4
4148,"2,2',3',4,6-Pentabromodiphenyl ether",38463-82-0
4105,"2,2',3,3',4',5,6-Heptabromodiphenyl ether",446255-23-8
3224,"2,2',3,3',4,4',5,5',6-NOBDE***retired***use Nonabromophenoxybenzene",63387-28-0
140,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",40186-72-9
103194,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl-C13",208263-75-6
4094,"2,2',3,3',4,4',5,5'-Octabromodiphenyl ether",85446-17-9
141,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",35694-08-7
101517,"2,2',3,3',4,4',5,6'-Octabromodiphenyl ether",446255-39-6
2509,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl",42740-50-1
3225,"2,2',3,3',4,4',5,6,6'-NOBDE***retired***use BDE-207",437701-79-6
142,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",52663-79-3
2508,"2,2',3,3',4,4',5,6-Octachlorobiphenyl",52663-78-2
4095,"2,2',3,3',4,4',5-Heptabromodiphenyl ether",327185-13-7
143,"2,2',3,3',4,4',5-Heptachlorobiphenyl",35065-30-6
2510,"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",33091-17-7
4096,"2,2',3,3',4,4',6-Heptabromodiphenyl ether",446255-19-2
2504,"2,2',3,3',4,4',6-Heptachlorobiphenyl",52663-71-5
144,"2,2',3,3',4,4'-Hexachlorobiphenyl",38380-07-3
3226,"2,2',3,3',4,4'-HXBDE***retired***use Hexabromodiphenyl ether",36483-60-0
150,"2,2',3,3',4,5',6'-Heptachlorobiphenyl",52663-70-4
4101,"2,2',3,3',4,5',6,6'-Octabromodiphenyl ether",446255-50-1
149,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",40186-71-8
4104,"2,2',3,3',4,5',6-Heptabromodiphenyl ether",446255-22-7
152,"2,2',3,3',4,5',6-Heptachlorobiphenyl",40186-70-7
4107,"2,2',3,3',4,5'-Hexabromodiphenyl ether",446254-88-2
154,"2,2',3,3',4,5'-Hexachlorobiphenyl",52663-66-8
4098,"2,2',3,3',4,5,5',6'-Octabromodiphenyl ether",NULL
145,"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",52663-75-9
3227,"2,2',3,3',4,5,5',6,6'-NOBDE",437701-78-5
2514,"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",52663-77-1
103195,"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl-C13",234432-92-9
4097,"2,2',3,3',4,5,5',6-Octabromodiphenyl ether",446255-42-1
146,"2,2',3,3',4,5,5',6-Octachlorobiphenyl",68194-17-2
4099,"2,2',3,3',4,5,5'-Heptabromodiphenyl ether",407606-59-1
147,"2,2',3,3',4,5,5'-Heptachlorobiphenyl",52663-74-8
4103,"2,2',3,3',4,5,6'-Heptabromodiphenyl ether",446255-21-6
153,"2,2',3,3',4,5,6'-Heptachlorobiphenyl",38411-25-5
4100,"2,2',3,3',4,5,6,6'-Octabromodiphenyl ether",446255-46-5
2511,"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",52663-73-7
4102,"2,2',3,3',4,5,6-Heptabromodiphenyl ether",446255-20-5
151,"2,2',3,3',4,5,6-Heptachlorobiphenyl",68194-16-1
4106,"2,2',3,3',4,5-Hexabromodiphenyl ether",446254-87-1
155,"2,2',3,3',4,5-Hexachlorobiphenyl",55215-18-4
4111,"2,2',3,3',4,6'-Hexabromodiphenyl ether",446254-90-6
2499,"2,2',3,3',4,6'-Hexachlorobiphenyl",38380-05-1
4108,"2,2',3,3',4,6,6'-Heptabromodiphenyl ether",407606-61-5
2505,"2,2',3,3',4,6,6'-Heptachlorobiphenyl",52663-65-7
4109,"2,2',3,3',4,6-Hexabromodiphenyl ether",446254-89-3
156,"2,2',3,3',4,6-Hexachlorobiphenyl",61798-70-7
4333,"2,2',3,3',4-PEBDE",327185-11-5
4112,"2,2',3,3',4-Pentabromodiphenyl ether",327185-11-5
157,"2,2',3,3',4-Pentachlorobiphenyl",52663-62-4
4113,"2,2',3,3',5,5',6,6'-Octabromodiphenyl ether",67797-09-5
2512,"2,2',3,3',5,5',6,6'-Octachlorobiphenyl",2136-99-4
103196,"2,2',3,3',5,5',6,6'-Octachlorobiphenyl-C13",105600-26-8
4114,"2,2',3,3',5,5',6-Heptabromodiphenyl ether",446255-24-9
158,"2,2',3,3',5,5',6-Heptachlorobiphenyl",52663-67-9
103192,"2,2',3,3',5,5',6-Heptachlorobiphenyl-C13",232919-67-4
4115,"2,2',3,3',5,5'-Hexabromodiphenyl ether",446254-91-7
159,"2,2',3,3',5,5'-Hexachlorobiphenyl",35694-04-3
4119,"2,2',3,3',5,6'-Hexabromodiphenyl ether",446254-93-9
2500,"2,2',3,3',5,6'-Hexachlorobiphenyl",52744-13-5
4116,"2,2',3,3',5,6,6'-Heptabromodiphenyl ether",446255-25-0
160,"2,2',3,3',5,6,6'-Heptachlorobiphenyl",52663-64-6
4117,"2,2',3,3',5,6-Hexabromodiphenyl ether",446254-92-8
161,"2,2',3,3',5,6-Hexachlorobiphenyl",52704-70-8
4120,"2,2',3,3',5-Pentabromodiphenyl ether",446254-51-9
162,"2,2',3,3',5-Pentachlorobiphenyl",60145-20-2
4121,"2,2',3,3',6,6'-Hexabromodiphenyl ether",446254-94-0
163,"2,2',3,3',6,6'-Hexachlorobiphenyl",38411-22-2
2497,"2,2',3,3',6-Pentachlorobiphenyl",52663-60-2
4292,"2,2',3,3'-TEBDE",337513-77-6
4123,"2,2',3,3'-Tetrabromodiphenyl ether",337513-77-6
164,"2,2',3,3'-Tetrachlorobiphenyl",38444-93-8
4141,"2,2',3,4',5',6-Hexabromodiphenyl ether",446255-04-5
180,"2,2',3,4',5',6-Hexachlorobiphenyl",38380-04-0
186,"2,2',3,4',5'-Pentachlorobiphenyl",41464-51-1
4130,"2,2',3,4',5,5',6-Heptabromodiphenyl ether",446255-28-3
175,"2,2',3,4',5,5',6-Heptachlorobiphenyl",52663-68-0
4133,"2,2',3,4',5,5'-Hexabromodiphenyl ether",446255-02-3
177,"2,2',3,4',5,5'-Hexachlorobiphenyl",51908-16-8
4140,"2,2',3,4',5,6'-Hexabromodiphenyl ether",446255-03-4
181,"2,2',3,4',5,6'-Hexachlorobiphenyl",74472-41-6
4134,"2,2',3,4',5,6,6'-Heptabromodiphenyl ether",116995-32-5
179,"2,2',3,4',5,6,6'-Heptachlorobiphenyl",74487-85-7
103188,"2,2',3,4',5,6,6'-Heptachlorobiphenyl-C13",234432-91-8
4136,"2,2',3,4',5,6-Hexabromodiphenyl ether",116995-33-6
183,"2,2',3,4',5,6-Hexachlorobiphenyl",68194-13-8
4144,"2,2',3,4',5-Pentabromodiphenyl ether",446254-57-5
188,"2,2',3,4',5-Pentachlorobiphenyl",68194-07-0
193,"2,2',3,4',6'-Pentachlorobiphenyl",60233-25-2
4147,"2,2',3,4',6,6'-Hexabromodiphenyl ether",NULL
190,"2,2',3,4',6,6'-Hexachlorobiphenyl",68194-08-1
4151,"2,2',3,4',6-Pentabromodiphenyl ether",446254-58-6
191,"2,2',3,4',6-Pentachlorobiphenyl",68194-05-8
4153,"2,2',3,4'-Tetrabromodiphenyl ether",446254-18-8
2487,"2,2',3,4'-Tetrachlorobiphenyl",36559-22-5
3229,"2,2',3,4,4',5',6-Heptabromodiphenyl ether",207122-16-5
168,"2,2',3,4,4',5',6-Heptachlorobiphenyl",52663-69-1
101518,"2,2',3,4,4',5'-Hexabromodiphenyl ether",182677-30-1
169,"2,2',3,4,4',5'-Hexachlorobiphenyl",35065-28-2
3444,"2,2',3,4,4',5'-HXBDE/2,3,4,4',5,6-HxBDE",NULL
3228,"2,2',3,4,4',5,5',6-OCBDE",337513-72-1
101519,"2,2',3,4,4',5,5',6-Octabromodiphenyl ether***retired***use 2,2',3,4,4',5,5',6-OCBDE",337513-72-1
2513,"2,2',3,4,4',5,5',6-Octachlorobiphenyl",52663-76-0
4125,"2,2',3,4,4',5,5'-Heptabromodiphenyl ether",446255-26-1
103025,"2,2',3,4,4',5,5'-Heptabromodiphenyl ether***retired***use BDE-180",446255-26-1
165,"2,2',3,4,4',5,5'-Heptachlorobiphenyl",35065-29-3
4127,"2,2',3,4,4',5,6'-Heptabromodiphenyl ether",442690-45-1
2506,"2,2',3,4,4',5,6'-Heptachlorobiphenyl",60145-23-5
4126,"2,2',3,4,4',5,6,6'-Octabromodiphenyl ether",446255-54-5
